,Date,ID,Name,Abs_magnitude,Min_diameter,Max_diameter,Potential_hazard,Close_approach_date,Relative_velocity,Miss_distance,Orbiting_body,Sentry_object
176,2023-01-13,54339245,(2023 BP),26.69,0.0122054832,0.0272922901,False,2023-01-13,9.7693576666,0.0131283606,Earth,False
177,2023-01-13,54340303,(2023 BB6),24.32,0.0363542322,0.0812905344,False,2023-01-13,7.3950557314,0.1443134992,Earth,False
178,2023-01-13,54341458,(2023 BH10),21.83,0.1144339731,0.2558821427,False,2023-01-13,14.6636345588,0.4335717818,Earth,False
179,2023-01-13,54430729,(2024 EY3),24.56,0.0325502986,0.0727846803,False,2023-01-13,9.1654388273,0.3024393666,Earth,False
180,2023-01-14,2242450,242450 (2004 QY2),14.64,3.1372922496,7.0151987353,True,2023-01-14,23.3155841289,0.2530306104,Earth,False
181,2023-01-14,2265482,265482 (2005 EE),21.21,0.152249185,0.3404395273,True,2023-01-14,7.9777348026,0.0775025798,Earth,False
182,2023-01-14,2510529,510529 (2012 EY11),21.58,0.1283970296,0.2871044863,True,2023-01-14,16.1913771204,0.459266661,Earth,False
183,2023-01-14,3673267,(2014 LJ),28.52,0.0052547853,0.0117500571,False,2023-01-14,3.4764314793,0.0121631756,Earth,True
184,2023-01-14,3674338,(2014 NE3),20.04,0.2609486033,0.5834988155,False,2023-01-14,13.3048014116,0.3405945793,Earth,False
185,2023-01-14,3789539,(2017 WE2),17.87,0.708851033,1.5850390958,False,2023-01-14,27.3997200151,0.2919113304,Earth,False
186,2023-01-14,3795110,(2017 YO6),22.38,0.0888290416,0.1986277755,False,2023-01-14,12.6829906572,0.3102934179,Earth,False
187,2023-01-14,3838863,(2019 DQ1),25.3,0.0231502122,0.0517654482,False,2023-01-14,22.3444873355,0.4751069744,Earth,False
188,2023-01-14,3893629,(2019 WR3),22.66,0.0780827277,0.1745982871,False,2023-01-14,15.3735929461,0.4479082361,Earth,False
189,2023-01-14,3986637,(2020 AE3),23.25,0.0595052079,0.1330576898,False,2023-01-14,14.6502399678,0.257846492,Earth,False
190,2023-01-14,54087743,(2020 VA3),27.8,0.0073207399,0.016369672,False,2023-01-14,16.2027054657,0.3777415917,Earth,False
191,2023-01-14,54235475,(2022 AG1),25.14,0.0249203981,0.0557237043,False,2023-01-14,18.4329563755,0.3845817637,Earth,False
192,2023-01-14,54336618,(2022 YH3),22.87,0.0708851033,0.1585039096,False,2023-01-14,16.2664479554,0.0486460229,Earth,False
193,2023-01-14,54338832,(2023 AJ1),20.39,0.2221032822,0.4966380371,True,2023-01-14,35.8108598328,0.1231749261,Earth,False
194,2023-01-14,54339968,(2023 AA3),23.61,0.0504144434,0.1127301225,False,2023-01-14,13.6888288547,0.2452100609,Earth,False
195,2023-01-14,54339242,(2023 BM),25.22,0.024019003,0.0537081235,False,2023-01-14,16.8474500353,0.0332919344,Earth,False
196,2023-01-14,54340157,(2023 BZ4),24.2,0.0384197891,0.0859092601,False,2023-01-14,8.5633030794,0.0577762682,Earth,False
197,2023-01-14,54340446,(2023 BP8),21.23,0.1508533561,0.3373183589,False,2023-01-14,17.8462671027,0.3219489646,Earth,False
198,2023-01-14,54405973,(2023 VN10),22.36,0.0896509666,0.2004656557,False,2023-01-14,8.611851055,0.3816231102,Earth,False
